L1-icache-load-misses:u,LLC-load-misses:u,LLC-loads:u,instructions:u
9104.0,0.0,135.0,112548500.0
9051.0,0.0,198.0,112351611.0
8767.0,0.0,138.0,112623179.0
9537.0,0.0,123.0,112575096.0
14332.0,147.0,1681.0,111862907.0
10521.0,0.0,180.0,112581578.0
10026.0,0.0,145.0,112573874.0
9894.0,0.0,135.0,112588824.0
10208.0,0.0,126.0,111959927.0
10013.0,0.0,130.0,112571901.0
10055.0,0.0,152.0,112645540.0
10455.0,1.0,186.0,112311486.0
9951.0,0.0,135.0,112731474.0
10129.0,0.0,135.0,112630632.0
123113.0,2211.0,30153.0,100449848.0
14834.0,0.0,132.0,112502025.0
12885.0,0.0,162.0,112567116.0
12072.0,0.0,192.0,112493916.0
11498.0,0.0,119.0,112566245.0
10931.0,0.0,116.0,112657574.0
11493.0,0.0,124.0,112553509.0
13820.0,0.0,213.0,112455674.0
14035.0,0.0,150.0,112619483.0
13941.0,0.0,129.0,112541116.0
18359.0,55.0,1562.0,111999098.0
12976.0,1.0,162.0,112635436.0
12664.0,1.0,167.0,112667674.0
12664.0,0.0,120.0,112642229.0
12670.0,0.0,132.0,112656945.0
12829.0,0.0,105.0,112646628.0
528922.0,6732.0,165071.0,129599277.0
291978.0,3194.0,96845.0,37161836.0
96824.0,1103.0,15143.0,12686020.0
6155.0,858.0,1560.0,116678.0
42723.0,1898.0,7169.0,1635589.0
10351.0,300.0,3145.0,250832.0
63055.0,3292.0,12572.0,1417832.0
100281.0,972.0,16602.0,14943934.0
5850.0,538.0,1643.0,116680.0
40597.0,1576.0,6785.0,1760475.0
10174.0,239.0,3177.0,250911.0
158080.0,6723.0,31276.0,6423676.0
632355.0,5009.0,116004.0,29990756.0
333223.0,1867.0,54789.0,22526689.0
4930.0,104.0,1403.0,26685.0
3046.0,20.0,1612.0,28808.0
3100.0,46.0,1513.0,28579.0
23039.0,2346.0,3512.0,33712195.0
44224.0,0.0,740.0,110979059.0
42693.0,1.0,922.0,111128693.0
51354.0,1070.0,3899.0,109286837.0
41425.0,0.0,902.0,110957990.0
47483.0,0.0,1117.0,111063541.0
42600.0,0.0,936.0,111205578.0
40767.0,1.0,938.0,111312885.0
40679.0,1.0,825.0,111306504.0
45877.0,1.0,1017.0,111148863.0
48418.0,2.0,935.0,111281187.0
41234.0,0.0,806.0,111298904.0
42037.0,0.0,836.0,111238710.0
47015.0,94.0,2370.0,110664785.0
40125.0,1.0,997.0,111235385.0
46864.0,0.0,995.0,111309495.0
46944.0,0.0,1011.0,111316897.0
55525.0,1018.0,3066.0,109688096.0
53727.0,3.0,706.0,111206187.0
51980.0,1.0,777.0,111041469.0
44030.0,1.0,684.0,111306731.0
42920.0,0.0,672.0,111385813.0
44047.0,1.0,688.0,111318345.0
49164.0,68.0,2138.0,110648061.0
44007.0,0.0,592.0,111185796.0
40170.0,0.0,546.0,111338892.0
45621.0,0.0,688.0,111384673.0
45727.0,0.0,636.0,111550374.0
40458.0,0.0,645.0,111309647.0
39433.0,1.0,718.0,111338810.0
38895.0,0.0,567.0,111539347.0
38862.0,0.0,596.0,111422527.0
38880.0,2.0,630.0,111262460.0
124572.0,4653.0,24426.0,58902122.0
16107.0,507.0,3023.0,201750.0
4017.0,34.0,1746.0,30814.0
26383.0,2147.0,3954.0,40498482.0
38500.0,4.0,918.0,111046582.0
43291.0,2.0,1061.0,111088264.0
44066.0,3.0,824.0,111243231.0
44157.0,1.0,865.0,111312028.0
40516.0,1.0,869.0,111369779.0
50432.0,2.0,1077.0,111059993.0
49993.0,1022.0,3670.0,109743491.0
43859.0,0.0,874.0,111112261.0
41531.0,0.0,743.0,111280848.0
41860.0,0.0,766.0,111331106.0
42521.0,0.0,756.0,111301216.0
39283.0,0.0,867.0,111244487.0
47989.0,0.0,889.0,111329464.0
42565.0,1.0,764.0,111362528.0
43336.0,0.0,751.0,111359120.0
43297.0,0.0,782.0,111440211.0
53894.0,1086.0,4675.0,108880798.0
40768.0,0.0,1062.0,110998272.0
37675.0,1.0,928.0,111182786.0
44081.0,0.0,1014.0,111056751.0
44611.0,1.0,980.0,111161725.0
43725.0,0.0,1003.0,111215452.0
45322.0,0.0,1091.0,111025094.0
42736.0,0.0,1045.0,111249813.0
39885.0,0.0,917.0,111140531.0
45087.0,1.0,1130.0,111052390.0
48717.0,53.0,2408.0,110689526.0
45560.0,0.0,1259.0,111159733.0
45465.0,0.0,1056.0,111282579.0
43109.0,1.0,913.0,111443172.0
43825.0,1.0,1082.0,111460924.0
45000.0,0.0,1037.0,111820286.0
285743.0,4953.0,44960.0,65838440.0
272096.0,8347.0,136755.0,25510842.0
80323.0,766.0,12944.0,2678923.0
328202.0,9420.0,128896.0,26991306.0
301891.0,3036.0,24148.0,25549063.0
782820.0,57.0,59089.0,58955459.0
870046.0,23.0,92565.0,53527921.0
812159.0,75.0,87539.0,53855196.0
793803.0,25.0,87431.0,54234895.0
786766.0,35.0,90133.0,54625062.0
773051.0,54.0,91106.0,55188680.0
773215.0,70.0,93092.0,54788559.0
772965.0,113.0,96853.0,54731653.0
765861.0,1153.0,101657.0,53305413.0
774071.0,967.0,100898.0,53245966.0
765455.0,173.0,102718.0,54350555.0
756409.0,155.0,104848.0,53834006.0
750472.0,210.0,106073.0,53647977.0
749992.0,85.0,114252.0,52369571.0
739103.0,127.0,119032.0,51506273.0
738383.0,82.0,121789.0,51138372.0
731809.0,73.0,122996.0,50707642.0
724737.0,128.0,126058.0,50550781.0
715059.0,1638.0,131799.0,49029480.0
710163.0,97.0,131180.0,49589051.0
696743.0,90.0,131926.0,48595666.0
699959.0,89.0,135504.0,48289068.0
688906.0,294.0,133345.0,48113658.0
683187.0,195.0,132815.0,47931929.0
684650.0,119.0,137576.0,47182151.0
679001.0,70.0,136322.0,47569268.0
680666.0,243.0,137984.0,47421752.0
365873.0,107701.0,209242.0,40814264.0
249673.0,38213.0,73884.0,55262218.0
345651.0,6894.0,32894.0,57137033.0
345121.0,7031.0,33287.0,57319882.0
348507.0,7336.0,32073.0,57129289.0
341499.0,8042.0,35355.0,56569663.0
345655.0,7888.0,31557.0,57192978.0
349172.0,8228.0,32448.0,57140578.0
342513.0,8551.0,32112.0,57231318.0
348850.0,9091.0,33022.0,56971440.0
341543.0,11311.0,38234.0,56034607.0
354431.0,10327.0,35797.0,56149611.0
356165.0,9042.0,32960.0,57117832.0
353020.0,9006.0,32126.0,57147460.0
346580.0,8828.0,32277.0,57214015.0
340563.0,8959.0,32165.0,57266749.0
306447.0,17239.0,97112.0,54463905.0
262865.0,28549.0,212880.0,50062336.0
262645.0,27579.0,211328.0,50252393.0
121386.0,107784.0,313611.0,38719501.0
289258.0,71087.0,265554.0,42091655.0
21381.0,88141.0,419560.0,32240308.0
12216.0,113504.0,517017.0,22308220.0
30889.0,76758.0,183145.0,38750922.0
3817.0,56756.0,212998.0,48223634.0
2621.0,34132.0,338350.0,51652544.0
3501.0,52850.0,512214.0,37985884.0
3413.0,25174.0,340805.0,50295422.0
9383.0,59851.0,468957.0,36991975.0
20373.0,100322.0,381753.0,32162606.0
24406.0,98433.0,432555.0,32298395.0
35906.0,94492.0,450812.0,31905322.0
33731.0,63419.0,409174.0,36833952.0
24481.0,61798.0,370259.0,39157372.0
32874.0,62031.0,344054.0,39232471.0
33265.0,70959.0,386283.0,36397465.0
41106.0,68356.0,363550.0,36951929.0
40453.0,75583.0,411758.0,34090258.0
37510.0,80350.0,443685.0,32622220.0
49850.0,74388.0,429159.0,32805599.0
36063.0,71730.0,427168.0,33926558.0
61557.0,69039.0,375231.0,34337732.0
46315.0,71249.0,396286.0,34446238.0
46439.0,71281.0,417924.0,33498209.0
51443.0,72663.0,426901.0,32684447.0
56336.0,70330.0,435816.0,32488031.0
42562.0,64481.0,380128.0,35760362.0
51286.0,66421.0,372033.0,35227900.0
51118.0,69064.0,392690.0,33670628.0
50694.0,67752.0,412911.0,33586579.0
52010.0,70213.0,424128.0,32803723.0
69326.0,67288.0,393398.0,33231681.0
60970.0,65297.0,384835.0,34751710.0
62335.0,64964.0,403843.0,33753482.0
63942.0,63016.0,396032.0,34530891.0
69502.0,61142.0,403640.0,34039446.0
65224.0,62867.0,412314.0,33833821.0
67476.0,65097.0,396703.0,33646475.0
68042.0,65701.0,407974.0,32972588.0
66693.0,64381.0,412044.0,33094218.0
68642.0,64612.0,403150.0,33369939.0
82940.0,65244.0,386222.0,32581133.0
68967.0,64266.0,403428.0,32975903.0
70034.0,62403.0,400584.0,33299716.0
64967.0,67445.0,407037.0,32384593.0
71893.0,69230.0,415759.0,31367851.0
69047.0,65927.0,381371.0,32910984.0
66967.0,63270.0,385380.0,33603833.0
67752.0,64679.0,405613.0,32461901.0
71049.0,63271.0,400612.0,32698341.0
73550.0,60259.0,375893.0,33846598.0
80372.0,65435.0,384284.0,32201377.0
72533.0,61346.0,382977.0,33062252.0
72330.0,60312.0,397814.0,33048721.0
72589.0,62049.0,390833.0,33044302.0
71409.0,62823.0,400913.0,32338857.0
69471.0,62740.0,398564.0,32376441.0
70864.0,61019.0,389851.0,32815018.0
66166.0,63295.0,391006.0,32377639.0
71950.0,62114.0,399736.0,31757440.0
