br_inst_retired.all_branches_pebs:u,br_misp_retired.all_branches_pebs:u,cpu-cycles:u,instructions:u
2467264.0,2931.0,28283594.0,112531747.0
2464225.0,2434.0,28247011.0,112400757.0
2466475.0,2271.0,28297886.0,112495794.0
2478933.0,3059.0,28269486.0,112036571.0
2467925.0,2575.0,28307350.0,112563081.0
2458871.0,2603.0,28263097.0,112152659.0
2467044.0,2578.0,28295549.0,112521365.0
2466459.0,2583.0,28312691.0,112501250.0
2469818.0,2578.0,28325355.0,112652569.0
2469951.0,2577.0,28327551.0,112658440.0
2468047.0,2587.0,28331187.0,112568833.0
2469225.0,2579.0,28321479.0,112624566.0
2467951.0,2583.0,28322262.0,112569063.0
2478901.0,3057.0,28271662.0,112028980.0
2469144.0,2578.0,28318616.0,112620463.0
3349508.0,21610.0,28361468.0,100756958.0
2467888.0,3242.0,28311288.0,112561401.0
2466522.0,2587.0,28319240.0,112501636.0
2469475.0,2584.0,28325510.0,112636103.0
2468181.0,2581.0,28307772.0,112575072.0
2468432.0,2573.0,28313294.0,112594376.0
2468063.0,2576.0,28306504.0,112569773.0
2468028.0,2582.0,28331072.0,112567902.0
2492840.0,3799.0,28226740.0,111469544.0
2469457.0,2583.0,28320658.0,112635281.0
2468182.0,2583.0,28308961.0,112579936.0
2468226.0,2584.0,28310560.0,112577362.0
2468115.0,2581.0,28307006.0,112571759.0
2469967.0,2580.0,28324661.0,112659588.0
2469891.0,2591.0,28326471.0,112655837.0
2469601.0,2588.0,28323629.0,112642229.0
16682727.0,79542.0,56697592.0,140525097.0
8981371.0,41409.0,22207525.0,42690674.0
4058124.0,106036.0,14034858.0,18727445.0
49890.0,4260.0,298672.0,231710.0
25280.0,1000.0,237267.0,116767.0
369567.0,5944.0,1858030.0,1636530.0
286234.0,10383.0,2098834.0,1325968.0
3337528.0,116625.0,11007650.0,15039676.0
54461.0,1575.0,369299.0,251022.0
398157.0,5807.0,1774242.0,1759628.0
54463.0,1583.0,299117.0,251096.0
1342743.0,27466.0,6551070.0,6423216.0
5864183.0,103931.0,21431831.0,28662295.0
5246893.0,48951.0,14281650.0,24087103.0
5783.0,366.0,79671.0,26611.0
8580.0,95.0,80966.0,39743.0
3870.0,70.0,43211.0,17836.0
2392023.0,29765.0,19923046.0,70302111.0
2638758.0,5342.0,28143405.0,108930552.0
2639644.0,3768.0,28328271.0,111005029.0
2643014.0,3545.0,28353305.0,111157847.0
2639553.0,3548.0,28345040.0,111003260.0
2644029.0,2899.0,28344066.0,111193958.0
2643293.0,2872.0,28332200.0,111168337.0
2644632.0,2879.0,28345209.0,111211048.0
2640218.0,2865.0,28296899.0,111046078.0
2646168.0,2856.0,28356079.0,111283710.0
2651192.0,3348.0,28279002.0,110544560.0
2637924.0,2874.0,28272546.0,110937488.0
2643541.0,2880.0,28330013.0,111168905.0
2647045.0,2892.0,28358509.0,111324912.0
2644639.0,2903.0,28357598.0,111211712.0
2646777.0,2881.0,28367455.0,111312414.0
2636828.0,5111.0,28227020.0,109513909.0
2644611.0,4183.0,28389269.0,111210125.0
2644269.0,4178.0,28370306.0,111214521.0
2646744.0,3409.0,28375546.0,111310669.0
2656599.0,3966.0,28332888.0,110765744.0
2643373.0,3574.0,28358591.0,111171945.0
2644830.0,3582.0,28374121.0,111220484.0
2643871.0,3604.0,28393943.0,111198264.0
2641247.0,3595.0,28359854.0,111071671.0
2643506.0,3560.0,28368128.0,111180861.0
2645931.0,3618.0,28390409.0,111272499.0
2646323.0,3605.0,28392911.0,111290974.0
2644287.0,3616.0,28367165.0,111195046.0
2643663.0,3603.0,28364553.0,111185735.0
2654858.0,3944.0,28332194.0,110703707.0
2644879.0,3418.0,28362569.0,111222960.0
2637431.0,3362.0,28354619.0,110928377.0
1705322.0,19697.0,9880115.0,25777985.0
6654.0,128.0,67362.0,30922.0
6240.0,49.0,55281.0,28904.0
2403882.0,30541.0,19696922.0,70698595.0
2629041.0,4782.0,28288304.0,110561756.0
2639215.0,4804.0,28347345.0,110978351.0
2640561.0,3781.0,28342526.0,111062214.0
2650398.0,5024.0,28215427.0,109423930.0
2643888.0,3198.0,28348848.0,111176076.0
2645185.0,3525.0,28378651.0,111257761.0
2646541.0,3498.0,28386110.0,111300694.0
2642285.0,3506.0,28361083.0,111114815.0
2644836.0,3498.0,28368899.0,111229627.0
2645718.0,3178.0,28363314.0,111262498.0
2644767.0,3174.0,28355421.0,111217655.0
2641551.0,3489.0,28360961.0,111099969.0
2640212.0,3468.0,28322400.0,111031724.0
2655785.0,3715.0,28327217.0,110747740.0
2646572.0,3508.0,28374061.0,111302647.0
2641333.0,5101.0,28246624.0,109688430.0
2642162.0,3432.0,28332350.0,111117234.0
2638891.0,3452.0,28327714.0,110983579.0
2644636.0,3482.0,28362721.0,111211254.0
2644483.0,3706.0,28365654.0,111224389.0
2645134.0,3758.0,28371564.0,111234909.0
2645574.0,3506.0,28371207.0,111255791.0
2646263.0,3502.0,28378039.0,111287969.0
2654602.0,4023.0,28325408.0,110691722.0
2645749.0,3517.0,28371038.0,111277939.0
2645171.0,3546.0,28362586.0,111245541.0
2646228.0,3672.0,28376259.0,111286326.0
2644175.0,3814.0,28378236.0,111189808.0
2647550.0,3808.0,28390051.0,111349010.0
2648468.0,3797.0,28401331.0,111383132.0
2649813.0,3812.0,28421012.0,111441831.0
2650761.0,3718.0,28431143.0,111480007.0
4641802.0,32706.0,15616949.0,36634595.0
5490473.0,80753.0,19548715.0,25754455.0
559888.0,23972.0,3962011.0,2684729.0
5704010.0,78439.0,20079555.0,26756450.0
5679473.0,125332.0,16450670.0,27546085.0
12877817.0,108130.0,28493806.0,59028624.0
11672164.0,135965.0,28560292.0,53801276.0
11863698.0,136441.0,28670606.0,54764703.0
11924051.0,134976.0,28674529.0,55074963.0
11968424.0,135002.0,28789142.0,55307188.0
11824518.0,129923.0,28647059.0,54661219.0
11949645.0,130129.0,28751839.0,55243225.0
11802170.0,139928.0,28807362.0,54575009.0
11877560.0,131955.0,28784461.0,54934913.0
11582934.0,130939.0,28530937.0,53593346.0
11808553.0,130784.0,28713691.0,54643679.0
11748431.0,125708.0,28529342.0,54360290.0
11627241.0,124014.0,28330008.0,53766570.0
11341334.0,123413.0,28127862.0,52509802.0
11272049.0,122312.0,28008611.0,52181777.0
11027074.0,122507.0,27899042.0,51040906.0
10949366.0,119059.0,27655675.0,50700658.0
10977312.0,118599.0,27685251.0,50833415.0
10782338.0,119341.0,27540942.0,49927604.0
10680306.0,113744.0,27257745.0,49476210.0
10547900.0,116211.0,27166521.0,48866683.0
10502070.0,120080.0,27203039.0,48638511.0
10465521.0,113478.0,26946954.0,48477869.0
10455257.0,113610.0,27019790.0,48424241.0
10397107.0,113415.0,26925245.0,48146129.0
10168029.0,114843.0,26815910.0,47106411.0
10298349.0,114299.0,26825959.0,47716554.0
10205650.0,44823.0,28826023.0,41458265.0
12683744.0,35932.0,26790968.0,56828691.0
12638112.0,34510.0,26544465.0,56597551.0
12634902.0,35466.0,26607945.0,56573089.0
12633165.0,34497.0,26610988.0,56556626.0
12466705.0,34995.0,26460540.0,55826153.0
12456524.0,44202.0,26661820.0,55760245.0
12510899.0,44750.0,26682519.0,56006799.0
12433963.0,35704.0,26428450.0,55673358.0
12646446.0,34524.0,26769874.0,56661515.0
12366272.0,33663.0,26401178.0,55390701.0
12507592.0,36182.0,26710301.0,56007025.0
12647027.0,33605.0,26772543.0,56639920.0
12656848.0,35504.0,26779837.0,56682556.0
12615638.0,34136.0,26734246.0,56511007.0
12613446.0,34020.0,26736340.0,56498106.0
12014375.0,29803.0,27541691.0,54709650.0
11226788.0,21848.0,28483899.0,52283895.0
11166221.0,21796.0,28417773.0,51995556.0
8308202.0,70938.0,29777519.0,37841945.0
